,show_type,title,ori_country,genre,is_NF_Ori,imdb_rating,rt_rating,country_chart,show_link,Continent,Year,Month
0,Movie,Alive,South Korea,Horror,False,6.2,86.0,ARE,https://flixpatrol.com/title/alive-2020,ASI,2020,9
1,TV Show,Away,USA,Science Fiction,True,7.1,73.0,ARE,https://flixpatrol.com/title/away-2020,ASI,2020,9
2,Movie,Skyscraper,USA,Action,False,6.1,48.0,ARE,https://flixpatrol.com/title/skyscraper,ASI,2018,7
3,TV Show,Lucifer,USA,Superhero,True,8.3,87.0,ARE,https://flixpatrol.com/title/lucifer,ASI,2016,1
4,Movie,Project Power,USA,Action,True,6.1,63.0,ARE,https://flixpatrol.com/title/project-power,ASI,2020,8
6,Movie,The Emoji Movie,USA,Animated,False,1.4,8.0,ARG,https://flixpatrol.com/title/the-emoji-movie,AME,2017,7
7,TV Show,Cobra Kai,USA,Action,False,8.8,94.0,ARG,https://flixpatrol.com/title/cobra-kai,AME,2018,5
10,Movie,The Crimes That Bind,Argentina,Crime,False,4.3,4.5,ARG,https://flixpatrol.com/title/the-crimes-that-bind,AME,2020,8
11,TV Show,Lucifer,USA,Superhero,True,8.3,87.0,ARG,https://flixpatrol.com/title/lucifer,AME,2016,1
12,Movie,Project Power,USA,Action,True,6.1,63.0,ARG,https://flixpatrol.com/title/project-power,AME,2020,8
14,Movie,Wonder,USA,Drama,False,8.0,93.0,ARG,https://flixpatrol.com/title/wonder,AME,2017,11
15,TV Show,Locked Up,Spain,Drama,True,8.3,100.0,ARG,https://flixpatrol.com/title/locked-up,AME,2015,4
18,Movie,The Kissing Booth 2,United Kingdom,Romance,True,6.2,28.0,ARG,https://flixpatrol.com/title/the-kissing-booth-2,AME,2020,7
19,TV Show,Dark Desire,Mexico,Drama,True,7.5,50.52054794520548,ARG,https://flixpatrol.com/title/dark-desire,AME,2020,7
20,Movie,MILF,France,Comedy,False,6.1,14.0,ARG,https://flixpatrol.com/title/milf-2018,AME,2018,5
22,Movie,The Old Guard,USA,Superhero,True,8.2,80.0,ARG,https://flixpatrol.com/title/the-old-guard,AME,2020,7
24,Movie,American Assassin,USA,Action,False,7.0,35.0,ARG,https://flixpatrol.com/title/american-assassin,AME,2017,9
25,TV Show,Dark,Germany,Mystery,True,8.7,94.0,ARG,https://flixpatrol.com/title/dark-2017,AME,2017,12
28,Movie,Lost Bullet,France,Crime,True,6.2,31.80110497237569,ARG,https://flixpatrol.com/title/lost-bullet,AME,2020,6
29,TV Show,The Sinner,USA,Crime,True,8.0,90.0,ARG,https://flixpatrol.com/title/the-sinner,AME,2017,8
30,Movie,365 Days,Poland,Romance,False,3.5,0.0,ARG,https://flixpatrol.com/title/365-days,AME,2020,6
31,TV Show,The Woods,USA,Crime,True,6.5,38.16,ARG,https://flixpatrol.com/title/the-woods-2020,AME,2020,6
33,TV Show,13 Reasons Why,USA,Drama,True,8.4,39.0,ARG,https://flixpatrol.com/title/13-reasons-why,AME,2017,3
34,Movie,Intuition,Argentina,Crime,True,5.9,46.12,ARG,https://flixpatrol.com/title/intuition,AME,2020,5
35,Documentary TV,Jeffrey Epstein: Filthy Rich,USA,Documentary,True,7.2,79.0,ARG,https://flixpatrol.com/title/jeffrey-epstein-filthy-rich,AME,2020,5
37,TV Show,White Lines,United Kingdom,Crime,True,6.1,64.0,ARG,https://flixpatrol.com/title/white-lines,AME,2020,5
38,Movie,Going in Style,USA,Comedy,False,6.8,49.0,ARG,https://flixpatrol.com/title/going-in-style,AME,2017,4
40,Movie,The Wrong Missy,USA,Comedy,True,5.6,25.0,ARG,https://flixpatrol.com/title/the-wrong-missy,AME,2020,5
41,TV Show,Valeria,Spain,Drama,True,5.8,26.210526315789473,ARG,https://flixpatrol.com/title/valeria,AME,2020,5
42,Movie,Space Jam,USA,Comedy,False,6.3,38.0,ARG,https://flixpatrol.com/title/space-jam,AME,1996,11
43,TV Show,Almost Happy,Argentina,Comedy,True,7.0,54.15744680851064,ARG,https://flixpatrol.com/title/almost-happy,AME,2020,5
44,Movie,Extraction,USA,Action,True,7.0,68.0,ARG,https://flixpatrol.com/title/extraction-2020,AME,2020,4
45,TV Show,Summertime,Italy,Drama,True,5.7,83.0,ARG,https://flixpatrol.com/title/summertime-2020,AME,2020,4
46,Movie,Focus,USA,Crime,False,6.6,56.0,ARG,https://flixpatrol.com/title/focus,AME,2015,2
