,Title,Type,Premiere,Genre,WM
0,The Night Agent,TV Show,2023.0,Action,812.1
1,Ginny & Georgia,TV Show,2021.0,Drama,665.1
2,The Glory,TV Show,2022.0,Thriller,622.8
3,Wednesday,TV Show,2022.0,Fantasy,507.7
4,Queen Charlotte: A Bridgerton Story,TV Show,2023.0,Drama,503.0
5,You,TV Show,2018.0,Crime,440.6
6,La Reina del Sur,TV Show,2011.0,Drama,429.6
7,Outer Banks,TV Show,2020.0,Drama,402.5
8,Ginny & Georgia,TV Show,2021.0,Drama,302.1
9,FUBAR,TV Show,2023.0,Action,266.2
10,Manifest,TV Show,2018.0,Thriller,262.6
11,Kaleidoscope,TV Show,2023.0,Crime,252.5
12,Firefly Lane,TV Show,2021.0,Drama,251.5
13,The Mother,Movie,2023.0,Thriller,249.9
14,Physical: 100,TV Show,2023.0,Reality-Show,235.0
15,Crash Course In Romance,TV Show,2023.0,Comedy,234.8
16,Love Is Blind,TV Show,2020.0,Reality-Show,229.7
17,Beef,TV Show,2023.0,Comedy,221.1
18,The Diplomat,TV Show,2023.0,Drama,214.1
19,Luther: The Fallen Sun,Movie,2023.0,Crime,209.7
20,Perfil falso,TV Show,2023.0,Drama,206.5
21,Vikings: Valhalla,TV Show,2022.0,History,205.5
22,Extraction 2,Movie,2023.0,Action,201.8
23,"XO, Kitty",TV Show,2023.0,Comedy,200.7
24,Doctor Cha,TV Show,2023.0,Comedy,194.7
25,Shadow and Bone,TV Show,2021.0,Fantasy,192.9
26,Outer Banks,TV Show,2020.0,Drama,184.0
27,Sweet Tooth,TV Show,2021.0,Superhero,182.3
28,You People,Movie,2023.0,Comedy,181.8
29,Perfect Match,TV Show,2023.0,Reality-Show,176.8
30,Sex/Life,TV Show,2021.0,Drama,175.5
31,The Marked Heart,TV Show,2022.0,Thriller,174.3
32,Murder Mystery 2,Movie,2023.0,Comedy,173.6
33,The Surrogacy,TV Show,2023.0,Drama,172.4
34,Pablo Escobar: El Patrón del Mal,TV Show,2012.0,Crime,170.1
35,Never Have I Ever,TV Show,2020.0,Comedy,168.3
36,Your Place or Mine,Movie,2023.0,Comedy,163.0
37,Chiquititas,TV Show,2013.0,Comedy,162.0
38,Emily in Paris,TV Show,2020.0,Drama,161.1
39,Alice in Borderland,TV Show,2020.0,Thriller,157.6
40,Alchemy of Souls,TV Show,2022.0,Fantasy,155.3
41,Outer Banks,TV Show,2020.0,Drama,153.9
42,New Amsterdam,TV Show,2018.0,Drama,153.0
43,Til Money Do Us Part,TV Show,2022.0,Drama,152.1
44,Mr. Queen,TV Show,2020.0,Comedy,151.5
45,Manifest,TV Show,2018.0,Thriller,151.4
46,Alchemy of Souls,TV Show,2022.0,Fantasy,150.2
47,Paw Patrol,TV Show,2013.0,Animation,149.3
48,The Good Bad Mother,TV Show,2023.0,Comedy,148.6
49,The Recruit,TV Show,2022.0,Action,146.9
50,Bloodhounds,TV Show,2023.0,Thriller,146.7
51,Glass Onion: A Knives Out Mystery,Movie,2022.0,Crime,142.9
52,Wrong Side of the Tracks,TV Show,2022.0,Drama,140.1
53,Black Mirror,TV Show,2011.0,Science Fiction,139.9
54,Triada,TV Show,2023.0,Drama,139.3
